No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1a_target_y2,gpra_1a_actual_y2,gpra_1b_target_y2,gpra_1b_actual_y2,gpra_2a_target_y2,gpra_2a_actual_y2,gpra_2b_target_y2,gpra_2b_actual_y2,gpra_3a_target_y2,gpra_3a_actual_y2,gpra_3b_target_y2,gpra_3b_actual_y2,Revisions Needed?,Revision Data Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,What revisions do this grantee require?,Modified By,Modified,meeting_targets
1.0,1.0,,,,,S184X99001001,Northfield State University,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001002,Lakewood College,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,0.0,0.0,16.0,16.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,Chris Nguyen,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001003,Riverside University,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,4.0,4.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","No, does include information on successes or challenges.",none,Sam Patel,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001004,Clearwater Institute,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes both.","No, does include information on successes or challenges.",none,Terry Kim,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001005,Summit University,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,0.0,14.0,27.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.",,Pat Chen,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001006,Maplewood College,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,12.0,14.0,12.0,17.0,12.0,18.0,12.0,14.0,11.0,9.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jamie Martinez,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001007,Brookfield University,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,0.0,1.0,10.0,7.0,10.0,7.0,9.0,6.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Robin Robinson,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001008,Crestview College,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,8.0,7.0,14.0,14.0,16.0,10.0,8.0,7.0,8.0,8.0,1.0,1.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jesse Clark,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001009,Pinehurst University,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,6.0,8.0,20.0,22.0,20.0,22.0,6.0,8.0,30.0,7.0,17.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",none,Kendall Lewis,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001010,Elmwood State University,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,0.0,0.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,Skyler Young,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001011,Fairview College,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,5.0,0.0,5.0,8.0,5.0,0.0,5.0,2.0,0.0,0.0,5.0,6.0,No,,Yes,"Yes, includes both.","Yes, includes both.","No, does include information on successes or challenges.",none,Dana Rivera,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001012,Greenfield University,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,20.0,28.0,20.0,28.0,20.0,28.0,20.0,28.0,0.0,3.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Chris Nguyen,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001013,Hillcrest Institute,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Sam Patel,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001014,Ironwood University,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,0.0,1.0,6.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Terry Kim,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001015,Juniper College,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,2.0,2.0,20.0,21.0,7.0,10.0,2.0,2.0,2.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Pat Chen,2025-06-02 07:04:19,6
