No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1a_target_y2,gpra_1a_actual_y2,gpra_1b_target_y2,gpra_1b_actual_y2,gpra_2a_target_y2,gpra_2a_actual_y2,gpra_2b_target_y2,gpra_2b_actual_y2,gpra_3a_target_y2,gpra_3a_actual_y2,gpra_3b_target_y2,gpra_3b_actual_y2,Revisions Needed?,Revision Data Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,What revisions do this grantee require?,Modified By,Modified,meeting_targets
1.0,1.0,,,,,S184X99004003,Riverside University,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99004004,Clearwater Institute,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,0.0,0.0,16.0,16.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99004006,Maplewood College,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,0.0,0.0,4.0,4.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","No, does include information on successes or challenges.",none,automation@smartsheet.com,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99004007,Brookfield University,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes both.","No, does include information on successes or challenges.",none,automation@smartsheet.com,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99004009,Pinehurst University,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,0.0,0.0,14.0,27.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99004010,Elmwood State University,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,12.0,14.0,12.0,17.0,12.0,18.0,12.0,14.0,11.0,9.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99004011,Fairview College,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,0.0,1.0,10.0,7.0,10.0,7.0,9.0,6.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99004015,Juniper College,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,8.0,7.0,14.0,14.0,16.0,10.0,8.0,7.0,8.0,8.0,1.0,1.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99004016,Kingsview University,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,6.0,8.0,20.0,22.0,20.0,22.0,6.0,8.0,30.0,7.0,17.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",none,automation@smartsheet.com,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99004018,Millbrook University,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,0.0,0.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",,automation@smartsheet.com,2025-06-02 07:04:19,5
