No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1_target_y2,gpra_1_actual_y2,gpra_2_target_y2,gpra_2_actual_y2,gpra_3_target_y2_ratio,gpra_3_actual_y2_ratio,gpra_4_target_y2,gpra_4_actual_y2,gpra_5_target_y2,gpra_5_actual_y2,Revisions Needed?,Type of Revisions Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,GPRA 4 Explanation of Progress,GPRA 5 Explanation of Progress,Column32,Column33,Modified By,Modified,gpra_3_target_y2,gpra_3_actual_y2,meeting_targets
1.0,1.0,,,,,S184H99004001,Northfield School District,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,16.0,26.0,195.0,220.0,1/200,256/49786,49.0,32.0,42000.0,48082.0,No,,Yes,"Yes, includes number of providers","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","No, does not include what services were provided and how how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,200.0,194.4765625,4
1.0,1.0,,,,,S184H99004002,Lakewood Unified School District,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,15.0,18.0,56.0,52.0,63/9771,73/9771,0.0,20.0,1570.0,2124.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,155.0952380952381,133.84931506849315,2
1.0,1.0,,,,,S184H99004003,Riverside City Schools,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,2.0,3.0,2.0,2.0,2/1033,3/1614,0.0,0.0,1889.0,1934.0,No,,Yes,"Yes, includes successes and challenges","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start of the reporting period and how many left.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,516.5,538.0,5
1.0,1.0,,,,,S184H99004004,Clearwater County Schools,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,4.0,1.0,2.0,2.0,1/250,4/719,0.0,1.0,100.0,374.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,250.0,179.75,2
1.0,1.0,,,,,S184H99004005,Summit Hills School District,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,10.0,7.0,5.0,5.0,203/49775,199/49994,0.0,0.0,49532.0,44171.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,245.19704433497537,251.22613065326632,3
1.0,1.0,,,,,S184H99004006,Maplewood Joint Unified School District,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,8.0,2.0,0.0,0.0,8/11240,7/11240,1.0,0.0,1240.0,320.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,1405.0,1605.7142857142858,3
1.0,1.0,,,,,S184H99004007,Brookfield City Schools,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,5.0,2.0,5.0,2.0,1/281,19/3474,10.0,7.0,400.0,1060.0,No,,Yes,"Yes, includes number of providers","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,281.0,182.8421052631579,2
1.0,1.0,,,,,S184H99004008,Crestview County School District,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,4.0,3.0,2.0,3.0,5/1982,6/1982,4.0,3.0,1982.0,1982.0,No,none,Yes,"Yes, includes number of providers","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,396.4,330.3333333333333,3
1.0,1.0,,,,,S184H99004009,Pinehurst Independent School District,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,12.0,21.0,10.0,14.0,64/64000,64/69486,12.0,6.0,6750.0,28994.0,No,,Yes,"Yes, includes both","Yes, includes activities and strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes number of providers at the start and end of the reporting period.","Yes, includes what services were provided and how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,1000.0,1085.71875,5
1.0,1.0,,,,,S184H99004010,Elmwood State Department of Education,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,16.0,15.0,8.0,6.0,35/5065,78/8392,0.0,0.0,3208.0,3208.0,Maybe,"Explanations of progress are lean, but information is included in executive summary.",Yes,"Yes, includes both","No, does not include information about strategies used to support retention","Yes, includes the ratio of students to providers within each participating LEA.","Yes, includes all of these.","No, does not include what services were provided and how how grant or matching funds supported them.",,,automation@smartsheet.com,2025-06-02 07:02:51,144.71428571428572,107.58974358974359,2
